date,open,high,low,close,volume,amount,turnover_pct,chg_pct
2021-05-31,2.40727072,2.40727072,2.385253,2.39259224,187245978,610437746.58,0.0637,-0.6098
2021-06-01,2.39259224,2.39259224,2.37791376,2.385253,178310087,578933138.73,0.0606,-0.3067
2021-06-02,2.385253,2.41460996,2.37057452,2.41460996,361495360,1178549610.85,0.1229,1.2308
2021-06-03,2.41460996,2.42928844,2.40727072,2.41460996,267426255,881657464.74,0.0909,0.0
2021-06-04,2.41460996,2.44396692,2.41460996,2.43662768,281208512,929936855.89,0.0956,0.9119
2021-06-07,2.43662768,2.44396692,2.41460996,2.43662768,280517456,929602911.37,0.0954,0.0
2021-06-08,2.43662768,2.4586454,2.41460996,2.4586454,368124272,1224758699.28,0.1252,0.9036
2021-06-09,2.45130616,2.47332388,2.45130616,2.4586454,278743056,935474904.22,0.0948,0.0
2021-06-10,2.45130616,2.47332388,2.42928844,2.43662768,254124399,848384185.03,0.0864,-0.8955
2021-06-11,2.43662768,2.45130616,2.4219492,2.43662768,201129402,667013066.26,0.0684,0.0
2021-06-15,2.43662768,2.44396692,2.39993148,2.40727072,220972569,726180844.91,0.0751,-1.2048
2021-06-16,2.40727072,2.41460996,2.39259224,2.39993148,224681186,735860553.8,0.0764,-0.3049
2021-06-17,2.40772491,2.43889287,2.39214093,2.39993292,309272064,957602900.3,0.1052,0.0
2021-06-18,2.39993292,2.39993292,2.37655695,2.37655695,260288949,796759284.45,0.0885,-0.974
2021-06-21,2.38434894,2.38434894,2.35318098,2.36097297,253213497,768721574.91,0.0861,-0.6557
2021-06-22,2.36097297,2.37655695,2.35318098,2.36876496,198914404,603739622.16,0.0676,0.33
2021-06-23,2.36097297,2.37655695,2.36097297,2.36876496,177425824,538371844.72,0.0603,0.0
2021-06-24,2.36876496,2.38434894,2.36097297,2.38434894,207003086,630475765.58,0.0704,0.6579
2021-06-25,2.37655695,2.39993292,2.37655695,2.39214093,132684697,407175310.6,0.0451,0.3268
2021-06-28,2.39214093,2.39993292,2.36876496,2.37655695,142609236,435127585.44,0.0485,-0.6515
2021-06-29,2.36876496,2.37655695,2.36097297,2.36097297,132939514,403513908.58,0.0452,-0.6557
2021-06-30,2.36097297,2.37655695,2.36097297,2.36097297,164799333,500193188.99,0.056,0.0
2021-07-01,2.36876496,2.37655695,2.36097297,2.36876496,110927527,337187181.1,0.0377,0.33
2021-07-02,2.36876496,2.37655695,2.36097297,2.36097297,130582829,396332634.87,0.0444,-0.3289
2021-07-05,2.36097297,2.36876496,2.35318098,2.36876496,149388107,453152294.35,0.0508,0.33
2021-07-06,2.36876496,2.37655695,2.36097297,2.37655695,131020315,398330190.85,0.0446,0.3289
2021-07-07,2.36876496,2.37655695,2.36097297,2.36097297,113428662,345052275.86,0.0386,-0.6557
2021-07-08,2.36876496,2.37655695,2.35318098,2.35318098,176351173,534833015.71,0.06,-0.33
