date,股票代码,open,close,high,low,volume,amount,amplitude_pct,chg_pct,chg_amt,turnover_pct,ma5,ma20,ema12,ema26,diff,dea,macd,rsi14,bb_upper,bb_mid,bb_lower,bb_width
2024-06-14,002837,18.13,18.42,18.54,17.77,109220,262367543.65,4.26,1.88,0.34,1.7,17.883999999999997,18.361,18.13960743004703,18.246194499294845,-0.1066,-0.0585,-0.0962,51.91,19.2113,18.361,17.5107,0.0926
2024-06-17,002837,18.85,18.36,18.96,18.33,108694,264211790.73,3.42,-0.33,-0.06,1.69,18.052,18.339,18.173513979270563,18.254624536384114,-0.0811,-0.063,-0.0362,51.24,19.1652,18.339,17.5128,0.0901
2024-06-18,002837,18.35,17.9,18.56,17.67,167378,394839501.9,4.85,-2.51,-0.46,2.61,18.068,18.285999999999998,18.13143490553663,18.228356052207513,-0.0969,-0.0698,-0.0542,46.29,19.0814,18.286,17.4906,0.087
2024-06-19,002837,17.99,18.09,18.65,17.88,188970,452048260.61,4.3,1.06,0.19,2.94,18.169999999999998,18.2575,18.12506030468484,18.218107455747695,-0.093,-0.0744,-0.0372,48.5,19.038,18.2575,17.477,0.0855
2024-06-20,002837,17.85,17.05,17.95,16.83,231078,524203146.66,6.19,-5.75,-1.04,3.6,17.964000000000002,18.1575,17.959666411656404,18.13158097754416,-0.1719,-0.0939,-0.1559,39.02,19.0149,18.1575,17.3001,0.0944
2024-06-21,002837,16.85,16.92,17.13,16.65,95288,211392815.5,2.82,-0.76,-0.13,1.48,17.664,18.082,17.799717732940035,18.041834238466816,-0.2421,-0.1236,-0.2371,38.02,19.0839,18.082,17.0801,0.1108
2024-06-24,002837,16.94,16.38,17.09,16.31,120018,261743365.38,4.61,-3.19,-0.54,1.87,17.268,17.9845,17.58129962018003,17.918735405987793,-0.3374,-0.1663,-0.3422,34.11,19.2226,17.9845,16.7464,0.1377
2024-06-25,002837,16.29,15.82,16.42,15.62,126917,265503591.86,4.88,-3.42,-0.56,1.98,16.852,17.828,17.31033044784464,17.76327352406277,-0.4529,-0.2237,-0.4586,30.6,19.3063,17.828,16.3497,0.1658
2024-06-26,002837,15.84,16.37,16.45,15.71,98100,207340653.99,4.68,3.48,0.55,1.53,16.508,17.724,17.16566422509931,17.6600680778359,-0.4944,-0.2778,-0.4332,37.42,19.302,17.724,16.146,0.1781
2024-06-27,002837,16.37,16.25,16.45,16.18,90564,193799721.15,1.65,-0.73,-0.12,1.41,16.348000000000003,17.606,17.02479280585326,17.555618590588793,-0.5308,-0.3284,-0.4048,36.57,19.2528,17.606,15.9592,0.1871
2024-06-28,002837,16.34,16.3,16.56,16.11,101372,217981461.36,2.77,0.31,0.05,1.58,16.224,17.5005,16.913286220337373,17.462609806100737,-0.5493,-0.3726,-0.3535,37.21,19.1973,17.5005,15.8037,0.1939
2024-07-01,002837,16.22,16.31,16.46,16.0,88970,189489480.07,2.82,0.06,0.01,1.39,16.21,17.415,16.820472955670084,17.377231301945127,-0.5568,-0.4094,-0.2947,37.35,19.1698,17.415,15.6602,0.2015
2024-07-02,002837,16.34,15.71,16.38,15.56,140926,291934680.01,5.03,-3.68,-0.6,2.19,16.188,17.2845,16.649630962490072,17.25373268698623,-0.6041,-0.4484,-0.3115,32.78,19.1362,17.2845,15.4328,0.2143
2024-07-03,002837,15.72,15.45,15.75,15.43,72967,148627994.88,2.04,-1.65,-0.26,1.14,16.003999999999998,17.124,16.465072352876213,17.120122858320585,-0.6551,-0.4897,-0.3307,31.01,19.0268,17.124,15.2212,0.2222
2024-07-04,002837,15.45,15.3,15.7,15.28,74097,149868001.47,2.72,-0.97,-0.15,1.15,15.813999999999998,16.9815,16.285830452433718,16.98529894288943,-0.6995,-0.5317,-0.3356,30.01,18.98,16.9815,14.983,0.2354
2024-07-05,002837,15.3,15.42,15.45,15.02,67460,135087706.1,2.81,0.78,0.12,1.05,15.638,16.8525,16.152625767443915,16.869350873045768,-0.7167,-0.5687,-0.2961,31.91,18.9038,16.8525,14.8012,0.2434
